,Unnamed: 0,avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume,Apr_1_2024,Mar_1_2024,Feb_1_2024,Jan_1_2024,Dec_1_2023,Nov_1_2023,Oct_1_2023,Sep_1_2023,Aug_1_2023,Jul_1_2023,Jun_1_2023,May_1_2023,Apr_1_2023,Mar_1_2023,Feb_1_2023,Jan_1_2023,Dec_1_2022,Nov_1_2022,Oct_1_2022,Sep_1_2022,Aug_1_2022,Jul_1_2022,Jun_1_2022,May_1_2022,Apr_1_2022,Mar_1_2022,Feb_1_2022,Jan_1_2022,Dec_1_2021,Nov_1_2021,Oct_1_2021,Sep_1_2021,Aug_1_2021,Jul_1_2021,Jun_1_2021,May_1_2021,Apr_1_2021,Mar_1_2021,Feb_1_2021,Jan_1_2021,Dec_1_2020,Nov_1_2020,Oct_1_2020,Sep_1_2020,Aug_1_2020,Jul_1_2020,Jun_1_2020,May_1_2020,Apr_1_2020,Mar_1_2020,Feb_1_2020,Jan_1_2020,Dec_1_2019,Nov_1_2019,Oct_1_2019,Sep_1_2019,Aug_1_2019,Jul_1_2019,Jun_1_2019,May_1_2019,3m_change,3m_rolling_avg,3m_volatility,6m_change,6m_rolling_avg,6m_volatility,12m_change,12m_rolling_avg,12m_volatility,recommendation
144,144,2.01M,-0.09,Darling Ingredients Inc.,43.04,6876931584,10.79,-0.21%,Consumer Defensive,DAR,771180,42.88,46.51,42.31,43.3,49.84,43.87,44.29,52.2,61.76,69.25,63.79,63.38,59.57,58.4,63.27,66.29,62.59,71.83,78.48,66.15,76.06,69.28,59.8,80.07,73.39,80.38,72.48,63.77,69.29,67.52,84.52,71.9,74.5,69.07,67.5,68.46,69.45,73.58,63.04,62.01,57.68,48.28,43.0,36.03,31.97,27.93,24.62,23.31,20.59,19.17,25.7,27.13,28.08,23.8,19.3,19.13,18.6,20.33,19.89,18.9,1.3471992436776181,43.9,1.8601612833300216,-2.2566674264873376,44.785,2.624428509218722,-32.34458819816977,51.94833333333333,9.462398245453187,Hold
145,145,1.319M,0.14,"Sprouts Farmers Market, Inc.",65.73,6628805120,26.29,+0.21%,Consumer Defensive,SFM,80084,65.43,64.48,62.44,50.37,48.11,43.08,42.02,42.8,40.79,39.25,36.73,34.56,34.66,35.03,30.29,31.95,32.37,34.33,29.5,27.75,28.9,27.64,25.32,27.09,29.8,31.98,28.48,27.14,29.68,26.46,22.14,23.17,24.9,24.58,24.85,26.6,25.61,26.62,21.11,22.65,20.1,21.17,19.05,20.93,23.35,26.38,25.59,25.13,20.78,18.59,15.98,15.63,19.35,19.8,19.41,19.34,17.95,16.93,18.89,20.05,4.788597053171059,64.11666666666667,1.2474061977648787,51.88022284122565,55.65166666666667,8.779296510667711,89.32291666666667,47.504999999999995,10.447477765789536,Buy
146,146,6.373M,-1.28,Medtronic plc,79.1,105030565888,25.11,-1.59%,Healthcare,MDT,607563,80.57,87.15,83.36,87.54,82.38,79.27,70.56,78.36,81.5,87.76,88.1,82.76,90.95,80.62,82.8,83.69,77.72,79.04,87.34,80.75,87.92,92.52,89.75,100.15,104.36,110.95,104.99,103.49,103.45,106.7,119.86,125.35,133.48,131.31,124.13,126.59,130.92,118.13,116.97,111.33,117.14,113.7,100.57,103.92,107.47,96.48,91.7,98.58,97.63,90.18,100.67,115.44,113.45,111.39,108.9,108.62,107.89,101.94,97.39,92.58,-3.3469289827255353,83.69333333333333,2.6965945602226244,1.639964677683862,83.37833333333333,3.090498431573067,-2.6462058965684045,82.4425,4.845054394259506,Buy
147,147,1.205M,-5.54,Vertex Pharmaceuticals Incorporated,395.22,102148169728,28.41,-1.38%,Healthcare,VRTX,102098,399.92,418.01,420.74,433.38,406.89,354.81,362.11,347.74,348.34,352.34,351.91,323.57,340.73,315.07,290.29,323.1,288.78,316.4,312.0,289.54,281.76,280.41,281.79,268.65,273.22,260.97,230.02,243.05,219.6,186.94,184.93,181.39,200.29,201.58,201.63,208.63,218.2,214.89,212.55,229.08,236.34,227.75,208.36,272.12,279.12,272.0,290.31,287.96,251.2,237.95,224.03,227.05,218.95,221.75,195.48,169.42,180.02,166.62,183.38,166.18,-4.94842420497219,412.89000000000004,9.238647087101004,12.713846847608584,405.625,25.061600607303593,23.59613066724357,376.6466666666667,34.97021645470455,Sell
148,148,1.549M,0.4,The Cigna Group,352.68,100036624384,20.27,+0.11%,Healthcare,CI,74371,353.18,363.19,336.14,300.95,299.45,262.88,309.2,286.07,276.26,295.1,280.6,247.41,253.29,255.53,292.1,316.67,331.34,328.89,323.06,277.47,283.45,275.36,263.52,268.29,246.78,239.61,237.78,230.46,229.63,191.9,213.61,200.16,211.65,229.49,237.07,258.85,249.01,241.74,209.9,217.05,208.18,209.14,166.97,169.41,177.37,172.69,187.65,197.32,195.78,177.18,182.94,192.38,204.49,199.92,178.46,151.79,153.97,169.92,157.55,148.02,5.069316356280128,350.83666666666664,11.166737313209367,34.350273889227026,319.29833333333335,34.813152407611064,42.75089931692333,300.8691666666666,33.54794168011239,Sell
149,149,"464,590",-16.62,"Regeneron Pharmaceuticals, Inc.",889.92,97679400960,25.57,-1.83%,Healthcare,REGN,93220,900.16,962.49,966.09,942.78,878.29,823.81,779.89,822.96,826.49,741.91,718.54,735.56,801.79,821.67,760.42,758.47,721.49,751.7,748.75,688.87,581.06,581.69,591.13,664.74,659.11,698.42,618.36,608.59,631.52,636.53,639.94,605.18,673.4,574.61,558.54,502.43,481.3,473.14,450.57,503.84,483.11,516.03,543.56,559.78,619.93,632.07,623.65,612.81,525.88,488.29,444.57,337.94,375.48,369.0,306.28,277.4,290.05,304.76,313.0,301.72,-6.824415944684249,942.9133333333334,30.266875549940025,9.267913717968952,912.2700000000001,50.787080049949736,22.377508293001256,841.5808333333333,84.73078990331018,Sell
151,151,9.455M,-0.65,CVS Health Corporation,67.12,84603420672,10.37,-0.96%,Healthcare,CVS,1892141,69.63,79.76,74.37,74.37,78.96,67.95,69.01,69.82,65.17,74.69,69.13,68.03,73.31,74.31,83.54,88.22,93.19,101.88,94.7,95.37,98.15,95.68,92.66,96.75,96.13,101.21,103.65,106.51,103.16,89.06,89.28,84.86,86.39,82.36,83.44,86.44,76.4,75.23,68.13,71.65,68.3,67.79,56.09,58.4,62.12,62.94,64.97,65.57,61.55,59.33,59.18,67.82,74.29,75.27,66.39,63.07,60.92,55.87,54.49,52.37,-6.3735377168213105,74.58666666666666,4.138392065632366,2.4724061810154416,74.17333333333333,4.350711308382675,2.3519035719535415,71.74083333333331,4.403423778404961,Buy
152,152,1.079M,-4.45,"HCA Healthcare, Inc.",314.565,83197722624,16.57,-1.40%,Healthcare,HCA,144338,310.31,333.53,311.7,304.9,270.68,250.48,226.14,245.98,277.3,272.81,303.48,264.19,287.33,263.68,243.45,255.07,239.96,240.22,217.47,183.79,197.87,212.42,168.06,210.4,214.55,250.62,250.31,240.05,256.92,225.59,250.46,242.72,252.98,248.2,206.74,214.79,201.06,188.34,172.03,162.48,164.46,150.11,123.94,124.68,135.72,126.64,97.06,106.9,109.88,89.85,127.01,138.8,147.81,138.66,133.54,120.42,120.2,133.51,135.17,120.96,-0.44594161052293435,318.5133333333333,10.633539182960456,23.886138613861394,296.93333333333334,27.829609930591708,17.457133123888113,280.95833333333337,30.6524082341919,Sell
153,153,7.193M,-1.06,"Gilead Sciences, Inc.",66.02,82324955136,14.67,-1.58%,Healthcare,GILD,1279627,66.95,73.25,72.1,78.26,81.01,76.6,78.54,74.94,76.48,76.14,77.07,76.94,82.21,82.97,80.53,83.94,85.85,87.83,78.46,61.69,63.47,59.75,61.81,64.85,59.34,59.45,60.4,68.68,72.61,68.93,64.88,69.85,72.78,68.29,68.86,66.11,63.47,64.63,61.4,65.6,58.26,60.67,58.15,63.19,66.75,69.53,76.94,77.83,84.0,74.76,69.36,63.2,64.98,67.24,63.71,63.38,63.54,65.52,67.56,62.25,-7.142857142857132,70.76666666666667,2.7393227062339474,-12.597911227154038,74.695,4.564802843497188,-12.98414348843254,75.69,3.4634183499350284,Hold
155,155,3.398M,-0.4,Zoetis Inc.,150.485,68763672576,29.68,-0.26%,Healthcare,ZTS,819661,145.54,169.21,198.33,187.81,197.37,176.67,157.0,173.98,190.51,188.09,172.21,163.01,175.78,166.44,167.0,165.49,146.55,154.14,150.78,148.29,156.53,182.55,171.89,170.93,177.25,188.59,193.65,199.79,244.03,222.04,216.2,194.14,204.56,202.7,186.36,176.68,173.03,157.48,155.24,154.25,165.5,160.38,158.55,165.37,160.1,151.68,137.04,139.39,129.31,117.69,133.23,134.21,132.35,120.52,127.92,124.59,126.42,114.89,113.49,101.05,-26.61725407149701,171.02666666666667,21.589677060010786,-17.620422256183844,179.155,18.30037499615787,-10.71713391816453,176.64416666666668,15.729642641804963,Sell
157,157,3.082M,-3.06,"DexCom, Inc.",134.81,53388263424,103.70,-2.22%,Healthcare,DXCM,363079,131.52,138.7,115.07,121.35,124.09,115.52,88.83,93.3,100.98,124.56,128.51,117.26,121.34,116.18,111.01,107.09,113.24,116.28,120.78,80.54,82.21,82.08,74.53,74.49,102.14,127.9,103.48,107.62,134.24,140.65,155.8,136.71,132.35,128.88,106.75,92.35,96.53,89.85,99.44,93.71,92.43,79.92,79.89,103.06,106.35,108.89,101.35,94.58,83.8,67.32,69.0,60.19,54.69,56.83,38.56,37.31,42.9,39.22,37.46,30.33,14.29564612844357,128.43,9.89125202725452,13.850415512465386,124.375,8.470365497820426,12.161009721985335,116.64083333333332,14.596971408670893,Sell
158,158,3.482M,-0.47,"Franklin Resources, Inc.",24.885,13103395840,13.10,-1.83%,Financial Services,BEN,1013174,25.58,28.11,27.45,26.63,29.79,24.8,22.79,24.58,26.74,29.24,26.71,24.01,26.88,26.94,29.47,31.2,26.38,26.81,23.45,21.52,26.07,27.45,23.31,27.08,24.59,27.92,29.73,31.97,33.49,32.4,31.49,29.72,32.44,29.55,31.99,34.21,30.0,29.6,26.17,26.29,24.99,21.99,18.75,20.35,21.06,21.05,20.97,18.87,18.84,16.69,21.76,25.3,25.98,27.49,27.55,28.86,26.28,32.63,34.8,31.82,-6.812386156648456,27.046666666666667,1.071520207721514,3.1451612903225707,27.060000000000002,1.6426807358704854,6.538942107455213,26.36916666666667,2.0233324752881208,Hold
160,160,3.675M,-0.16,Ares Capital Corporation,20.63,12517809152,7.70,-0.77%,Financial Services,ARCC,342961,20.66,20.82,20.23,20.23,20.03,19.82,18.96,19.47,19.49,19.6,18.79,18.74,18.48,18.27,19.36,19.37,18.47,19.65,19.43,16.88,19.64,19.39,17.93,19.38,20.27,20.95,21.84,22.1,21.19,20.26,21.44,20.33,19.9,19.97,19.59,19.47,19.25,18.71,18.33,17.3,16.89,16.48,13.83,13.95,14.71,14.1,14.45,14.75,12.84,10.78,17.19,18.82,18.65,18.73,18.3,18.64,18.86,18.57,17.94,17.56,2.1255561047948577,20.570000000000004,0.24913182588073052,4.238143289606457,20.298333333333336,0.34474225476756126,10.24546424759873,19.736666666666668,0.6613916304950415,Buy
161,161,"356,432",-1.12,"Reinsurance Group of America, Incorporated",189.89,12492160000,14.12,-0.59%,Financial Services,RGA,14344,188.78,192.88,176.85,173.89,161.78,163.06,149.47,145.19,138.62,140.35,138.69,140.0,142.32,132.76,144.47,151.77,142.09,144.4,147.17,125.81,125.36,115.78,117.29,125.85,107.32,109.46,110.86,114.83,109.49,94.91,118.08,111.26,115.82,110.18,114.0,126.03,130.53,126.05,122.23,105.05,115.9,115.28,101.02,95.19,91.68,85.25,78.44,90.75,104.68,84.14,122.03,144.05,163.06,165.46,162.47,159.88,153.97,155.92,156.03,148.06,6.745829799264917,186.17,6.799475469965803,15.773334968723168,176.20666666666668,11.710630023852497,34.84285714285714,159.13,19.186033548738866,Sell
163,163,2.653M,-0.61,"Equitable Holdings, Inc.",37.46,12272494592,10.76,-1.60%,Financial Services,EQH,414837,37.01,38.01,34.24,32.69,33.3,30.69,26.57,28.39,28.8,28.69,27.16,24.54,25.99,25.39,31.42,32.07,28.7,31.74,30.62,26.35,29.75,28.43,26.07,30.41,28.83,30.91,32.66,33.64,32.79,31.46,33.5,29.64,31.01,30.87,30.45,31.75,34.23,32.62,29.57,24.78,25.59,25.38,21.49,18.24,21.19,20.46,19.29,19.11,18.32,14.45,21.4,24.02,24.78,24.74,21.6,22.16,20.77,22.48,20.9,20.55,8.089953271028024,36.419999999999995,1.594636844760167,20.593027044639935,34.32333333333333,2.5077457783612926,50.81499592502037,30.840833333333336,4.0495503008221645,Buy
164,164,"218,929",-0.19,CNA Financial Corporation,44.035,11929037824,9.94,-0.44%,Financial Services,CNA,6358,44.56,45.42,43.95,44.07,42.31,42.13,40.4,39.35,39.33,39.16,38.62,36.86,38.91,39.03,43.78,43.56,42.28,42.58,41.7,36.9,38.46,42.42,44.9,45.84,47.44,48.62,45.7,45.91,44.08,41.64,44.86,41.96,44.35,44.01,45.49,47.81,46.93,44.63,42.54,38.42,38.96,34.51,29.79,29.99,32.17,33.3,32.15,30.23,31.58,31.04,41.58,44.63,44.81,44.72,44.84,49.25,47.13,47.89,47.07,44.96,1.3879408418657553,44.64333333333334,0.6030109636003492,5.767861381438403,43.74,1.1750744657254704,20.889853499728712,41.346666666666664,2.6449522154893894,Buy
165,165,"368,385",-3.09,RenaissanceRe Holdings Ltd.,216.71,11422827520,4.15,-1.41%,Financial Services,RNR,17106,226.82,235.03,224.82,228.83,196.0,214.36,219.59,197.92,187.89,186.76,186.52,188.37,215.41,200.34,214.9,195.69,184.23,188.91,154.68,140.39,135.26,129.31,156.37,153.52,143.52,158.51,150.78,157.17,169.33,154.11,141.8,139.4,156.73,152.69,148.82,154.12,168.81,160.25,166.98,150.44,165.82,164.64,161.72,169.74,183.74,180.38,171.03,167.86,146.01,149.32,170.4,189.44,196.02,188.33,187.18,193.45,180.55,181.15,178.01,174.44,0.8896005693443645,228.89000000000001,4.417744522566544,5.8126516141071,220.9766666666667,12.752130105289163,20.411955194563884,207.74250000000004,18.08194316853142,Buy
167,167,"348,841",0.32,"American Financial Group, Inc.",130.035,10904397824,12.94,+0.24%,Financial Services,AFG,37323,128.85,136.48,127.67,120.4,118.89,114.39,109.36,111.67,115.92,121.61,118.75,112.27,122.73,121.5,134.11,142.59,137.28,142.22,145.11,122.93,127.68,133.68,138.81,141.3,138.48,145.62,135.39,130.28,137.32,133.61,136.04,125.83,137.94,126.49,124.72,133.06,122.86,114.1,106.7,94.14,87.62,89.41,74.94,66.98,66.85,60.77,63.46,60.24,66.24,70.08,92.42,108.79,109.65,109.71,104.04,107.85,100.97,102.38,102.47,98.2,0.9242578522753918,131.0,3.9047748547984984,12.640965119328607,124.44666666666666,7.336767377773095,14.767970072147502,119.68833333333332,7.6572012220886245,Buy
170,170,"561,003",-0.49,"Post Holdings, Inc.",105.65,6410969088,22.72,-0.46%,Consumer Defensive,POST,9875,104.63,106.28,104.16,92.87,88.06,85.43,80.28,85.74,89.71,85.3,86.65,84.96,90.49,89.87,89.96,94.95,90.26,93.61,90.42,81.91,88.76,86.94,82.35,82.23,74.39,69.26,68.81,69.25,73.78,63.22,66.41,72.09,73.24,66.98,70.99,75.61,74.46,69.19,62.87,62.07,66.11,61.82,56.22,56.28,57.6,58.08,57.34,56.98,60.11,54.3,66.27,68.44,71.4,69.11,67.34,69.27,65.24,70.17,68.04,68.78,0.4512288786482324,105.02333333333333,0.9090776766713757,22.474540559522403,96.90500000000002,8.430027184614133,23.152071563088516,91.1725,8.50192833518765,Buy
174,174,"927,822",-0.85,"Ollie's Bargain Outlet Holdings, Inc.",73.855,4532237824,25.29,-1.14%,Consumer Defensive,OLLI,95943,73.7,79.57,80.17,71.93,75.89,73.27,77.24,77.18,77.08,72.88,57.93,55.12,65.25,57.94,57.54,54.76,46.84,60.9,56.0,51.6,55.31,58.95,58.75,46.97,48.05,42.96,43.18,47.94,51.19,61.89,67.66,60.28,72.38,93.1,84.13,86.44,92.27,87.0,82.68,94.73,81.77,88.06,87.09,87.35,95.54,105.1,97.65,91.45,67.91,46.34,50.87,53.04,65.31,65.4,63.88,58.64,55.45,84.69,87.11,98.72,-8.0703505051765,77.81333333333333,2.9188620309215616,0.586870479050098,75.755,3.1382996988815437,33.708272859216265,72.66333333333334,7.649529760420281,Buy
175,175,"139,009",-0.32,National Beverage Corp.,44.205,4134993152,24.42,-0.73%,Consumer Defensive,FIZZ,6902,44.68,47.46,52.64,46.24,49.72,47.54,46.38,47.02,51.31,52.85,48.35,49.42,49.7,52.72,46.65,44.2,46.53,51.53,47.42,38.54,55.46,54.18,48.94,49.63,44.08,43.5,44.01,44.67,45.33,51.94,56.4,52.49,46.55,45.38,47.23,49.93,48.59,48.91,47.66,75.77,42.45,49.01,39.15,34.01,40.66,32.08,30.51,28.49,25.11,21.33,21.15,21.45,25.51,24.82,21.98,22.18,20.45,21.76,22.32,22.58,-15.121580547112465,48.26,3.2985249228506173,-6.015986537652502,48.046666666666674,2.5527153299096152,-9.591258599757186,48.634166666666665,2.4914435518835703,Sell
176,176,"145,924",-5.73,"Inter Parfums, Inc.",124.79,3995987968,26.27,-4.39%,Consumer Defensive,IPAR,20744,129.52,140.51,146.72,139.15,144.01,125.16,127.11,134.34,139.73,149.56,135.23,125.6,151.79,142.24,120.41,118.22,96.52,95.29,80.88,75.46,78.52,83.47,73.06,73.8,81.73,88.05,92.88,98.97,106.9,87.83,92.38,74.77,72.54,76.87,72.0,76.48,73.6,70.93,73.17,62.18,60.49,54.31,41.06,37.35,44.67,40.89,48.15,46.41,44.69,46.35,60.06,69.11,72.71,70.49,77.43,69.97,64.29,69.28,66.49,64.78,-11.72300981461286,138.91666666666666,7.111682095132076,3.4835410674336957,137.51166666666666,7.6933551776119655,3.1210191082802674,136.38666666666666,7.933946404882978,Sell
177,177,"184,290",0.14,"Grand Canyon Education, Inc.",129.02,3872999936,18.97,+0.11%,Consumer Defensive,LOPE,23465,128.94,136.21,134.8,130.59,132.04,136.72,118.33,116.88,117.25,108.55,103.21,104.76,118.7,113.9,113.29,116.56,105.66,113.07,100.63,82.25,81.38,96.07,94.19,89.17,95.97,97.11,86.83,83.68,85.71,72.47,79.7,87.96,89.14,92.37,89.97,90.94,108.29,107.1,104.69,84.94,93.11,83.47,78.37,79.94,94.04,88.74,90.53,97.59,86.02,76.29,80.68,78.28,95.79,85.19,91.96,98.2,125.6,108.77,117.02,119.86,-4.347181008902087,133.31666666666666,3.1478493540122896,-5.690462258630779,133.21666666666667,2.89580539554869,23.081328751431837,122.35666666666667,11.892221781016739,Buy
179,179,"975,572",0.58,The Simply Good Foods Company,34.92,3491615744,25.12,+1.69%,Consumer Defensive,SMPL,61331,32.91,34.03,35.48,37.8,39.6,38.74,37.29,34.52,36.08,38.71,36.59,36.19,36.37,39.77,38.29,36.3,38.03,39.9,38.3,31.99,30.55,32.62,37.77,39.96,41.65,37.95,39.63,35.23,41.57,36.97,39.65,34.49,35.62,37.48,36.51,34.53,34.55,30.42,29.17,28.54,31.36,21.74,18.8,22.05,24.85,24.04,18.58,17.03,18.85,19.26,22.06,22.97,28.54,27.63,24.54,28.99,29.63,27.23,24.08,21.49,-7.243517474633599,34.13999999999999,1.0520773102137821,-15.04904491481674,36.42666666666666,2.460173887259915,-9.063277148383534,36.49499999999999,1.9590792905512193,Hold
181,181,"661,979",-0.15,Nomad Foods Limited,18.66,3064326656,15.55,-0.80%,Consumer Defensive,NOMD,9565,18.59,19.56,18.43,17.99,16.95,16.15,13.82,15.22,18.34,17.78,17.52,17.05,18.8,18.74,17.92,17.79,17.24,17.49,15.4,14.2,17.69,18.44,19.99,20.87,18.46,22.58,25.18,25.8,25.39,23.89,27.23,27.56,26.39,26.12,28.27,30.67,29.16,27.46,23.62,25.1,25.42,24.15,24.25,25.48,24.66,23.06,21.45,21.18,20.61,18.56,18.46,20.18,22.37,21.0,19.51,20.5,20.15,22.27,21.36,21.22,0.8681497558328819,18.86,0.49926612809869864,15.108359133126944,17.944999999999997,1.1160607809015899,9.032258064516125,17.283333333333335,1.5227734200756489,Buy
185,185,"955,048",-6.76,IQVIA Holdings Inc.,234.08,42605838336,32.07,-2.81%,Healthcare,IQV,112236,231.34,252.89,247.16,208.23,231.38,214.1,180.83,196.75,222.63,223.76,224.77,196.91,188.23,198.89,208.47,229.41,204.89,218.02,209.67,181.14,212.66,240.27,216.99,215.25,217.99,231.21,230.12,244.9,282.14,259.13,261.42,239.54,259.73,247.7,242.32,240.16,234.69,193.14,192.79,177.8,179.17,168.99,153.99,157.63,163.75,158.39,141.88,149.52,142.59,107.86,139.49,155.25,154.51,145.98,144.42,149.38,155.15,159.17,160.9,135.85,-6.400712089334841,243.79666666666665,9.113529624806302,8.052312003736576,230.85,16.044342720514706,17.48514549794323,219.22916666666663,20.198055376006426,Sell
186,186,3.026M,-0.55,Centene Corporation,75.645,40462962688,15.28,-0.72%,Healthcare,CNC,397560,75.58,78.48,78.43,75.31,74.21,73.68,68.98,68.88,61.65,68.09,67.45,62.41,68.93,63.21,68.4,76.24,82.01,87.05,85.13,77.81,89.74,92.97,84.61,81.44,80.55,84.19,82.62,77.76,82.4,71.41,71.24,62.31,62.98,68.61,72.93,73.6,61.74,63.91,58.54,60.3,60.03,61.65,59.1,58.33,61.32,65.25,63.55,66.25,66.58,59.41,53.02,62.81,62.87,60.47,53.08,43.26,46.62,52.09,52.44,57.75,-3.633813591737866,77.49666666666667,1.3554417074231675,2.5787187839304986,75.94833333333334,1.883183622368133,21.102387437910593,71.09583333333333,5.469156635675702,Buy
188,188,"419,775",-11.9,"IDEXX Laboratories, Inc.",482.36,40061972480,47.85,-2.41%,Healthcare,IDXX,38663,479.57,539.93,575.23,515.08,555.05,465.82,399.47,437.27,511.41,554.73,502.23,464.77,492.16,500.08,473.24,480.5,407.96,425.87,359.68,325.8,347.62,399.18,350.73,391.62,430.48,547.06,532.35,507.3,658.46,608.07,666.14,621.9,673.76,678.53,631.55,558.11,548.99,489.31,520.17,478.68,499.87,460.98,424.82,393.11,391.06,397.75,330.16,308.88,277.6,242.24,254.51,271.01,261.13,251.58,285.01,271.93,289.74,282.05,275.33,249.77,-16.629869791213952,531.5766666666667,39.49719427447418,2.951783950882315,521.78,39.266851159725036,3.184370764033826,500.0466666666666,50.42363736934847,Sell
192,192,"974,998",-2.65,Veeva Systems Inc.,197.87,31978561536,61.26,-1.32%,Healthcare,VEEV,108935,199.06,231.69,225.51,207.41,192.52,174.31,192.71,203.45,208.7,204.22,197.73,165.7,179.08,183.79,165.66,170.55,161.38,190.36,167.94,164.88,199.32,223.58,198.04,170.26,181.95,212.46,229.05,236.54,255.48,282.58,317.01,288.17,331.98,332.71,310.95,291.34,282.45,261.24,280.11,276.44,272.25,276.87,270.05,281.19,282.27,264.57,234.42,218.87,190.8,156.37,141.97,146.61,140.66,149.18,141.83,152.69,160.38,165.9,162.11,154.29,-11.728969890470484,218.75333333333333,14.151999466113924,14.198841145086341,205.08333333333334,19.458043466791707,20.132770066385042,200.2508333333333,17.71573521775361,Sell
193,193,1.243M,0.53,Biogen Inc.,202.52,29438509056,25.32,+0.26%,Healthcare,BIIB,233554,194.11,215.63,216.99,246.66,258.77,234.08,237.54,257.01,267.36,270.19,284.85,296.41,304.23,278.03,269.86,290.9,276.92,305.17,283.44,267.0,195.38,215.06,203.94,200.0,207.44,210.6,211.01,226.0,239.92,235.74,266.68,282.99,338.91,326.73,346.27,267.48,267.33,279.75,272.88,282.61,244.86,240.17,252.07,283.68,287.64,274.69,267.55,307.09,296.83,316.38,308.39,268.85,296.73,299.81,298.71,232.82,219.75,237.82,233.87,219.29,-10.544264712659567,208.91,10.47989821833526,-17.07535885167464,227.70666666666662,21.42509328386278,-34.51300563408792,248.29999999999995,28.843387457093183,Sell
194,194,"540,564",-8.73,"West Pharmaceutical Services, Inc.",377.005,27598802944,47.90,-2.26%,Healthcare,WST,143235,375.35,395.71,358.36,373.03,352.12,350.76,318.29,375.21,406.9,368.04,382.47,334.63,361.24,346.47,317.03,265.6,235.35,234.66,230.1,246.08,296.69,343.56,302.37,310.38,315.06,410.71,387.08,393.22,469.01,442.66,429.88,424.54,451.62,411.73,359.1,347.51,328.52,281.78,280.65,299.49,283.31,275.16,272.07,274.9,283.96,268.87,227.17,216.04,189.26,152.25,150.56,155.95,150.33,147.03,143.84,141.82,145.46,137.27,125.15,114.6,4.741042527067756,376.47333333333336,15.268748766316396,7.0104915041624,367.555,15.749608196184852,12.168663897438972,365.9058333333333,23.79789957760044,Sell
195,195,1.038M,-3.32,ResMed Inc.,180.455,26542944256,29.83,-1.81%,Healthcare,RMD,85125,180.35,198.03,173.72,190.2,172.02,157.73,141.22,147.87,159.59,222.35,218.5,210.79,240.96,218.99,213.0,228.37,208.13,230.2,223.69,218.3,219.92,240.52,209.63,203.46,199.97,242.51,246.75,228.6,260.48,254.85,262.91,263.55,290.53,271.8,246.52,205.85,187.97,194.02,192.78,201.57,212.56,209.6,191.94,171.43,180.78,202.51,192.0,160.82,155.32,147.29,158.96,158.97,154.97,149.6,147.92,135.11,139.3,128.7,122.03,114.12,3.8164862997927673,184.03333333333333,10.260579364192303,14.34096240410829,178.67499999999998,13.024216867051932,-14.440912756772143,181.03083333333333,26.12813568369461,Sell
196,196,22.934M,-5.65,Alphabet Inc.,155.45,1919854182400,26.80,-3.51%,Communication Services,GOOG,7670019,157.95,152.26,139.78,141.8,140.93,133.92,125.3,131.85,137.35,133.11,120.97,123.37,108.22,104.0,90.3,99.87,88.73,101.45,94.66,96.15,109.15,116.64,109.37,114.04,114.97,139.65,134.89,135.7,144.68,142.45,148.27,133.27,145.46,135.22,125.32,120.58,120.51,103.43,101.84,91.79,87.59,88.04,81.05,73.48,81.71,74.15,70.68,71.45,67.43,58.14,66.97,71.71,66.85,65.25,63.01,60.95,59.4,60.83,54.05,55.18,12.998998426098145,149.99666666666667,7.588554246729444,17.94354838709678,144.44,8.117349731696091,28.029504741833495,136.54916666666668,10.592590537991898,Sell
198,198,1.431M,-0.24,Unum Group,51.37,9859033088,7.90,-0.46%,Financial Services,UNM,44628,51.8,53.66,49.45,48.34,45.22,43.0,48.9,49.19,49.19,48.61,47.7,43.45,42.2,39.56,44.55,42.03,41.03,42.18,45.59,38.8,37.85,32.19,34.02,36.45,30.52,31.51,27.92,25.38,24.57,23.1,25.47,25.06,26.62,27.4,28.4,30.97,28.26,27.83,26.48,23.23,22.94,22.23,17.66,16.83,18.48,17.23,16.59,15.15,17.45,15.01,23.31,26.69,29.16,30.74,27.54,29.72,25.41,31.95,33.55,31.49,4.752275025278046,51.63666666666666,1.7226013919521679,20.46511627906976,48.57833333333334,3.6381149728335345,19.21749136939009,48.209166666666675,2.9679382808422554,Buy
199,199,1.016M,-1.08,Jefferies Financial Group Inc.,43.52,9228154880,34.82,-2.42%,Financial Services,JEF,61263,43.53,44.1,41.82,40.76,40.41,35.44,32.18,36.63,35.69,36.79,33.17,30.07,32.03,31.74,37.79,39.28,32.77,36.32,32.9,28.2,30.68,31.14,26.41,31.57,29.41,31.41,33.98,35.03,37.09,35.93,41.11,35.5,35.33,31.73,32.7,30.72,31.08,28.78,27.76,22.32,23.52,21.73,18.65,17.21,16.77,15.49,14.87,14.01,13.12,13.07,18.84,20.69,20.43,19.98,17.85,17.59,16.69,19.09,17.21,15.82,4.088952654232426,43.15,0.9688137075826296,22.827313769751704,41.01,2.8284860496974953,44.762221483205856,37.549166666666665,4.365459995489848,Buy
